,Survived,Pclass,SibSp,Parch,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Age,Fare
0,1,1,0,2,0,0,1,0,1,1.3862943611198906,4.394449154672439
1,1,1,0,0,1,0,0,1,0,3.1780538303479458,4.418840607796598
2,1,1,0,0,1,0,0,1,0,3.4011973816621555,4.02535169073515
3,1,1,1,0,1,0,0,1,0,2.833213344056216,4.68213122712422
4,1,1,0,0,1,0,0,1,0,3.4965075614664802,4.700480365792417
5,1,1,1,2,0,0,1,0,1,0.0,5.017279836814924
6,1,1,0,0,1,0,0,1,0,3.1780538303479458,3.8918202981106265
7,0,1,0,0,0,0,1,0,1,3.8918202981106265,3.258096538021482
8,1,1,2,2,1,0,0,1,0,2.8903717578961645,5.568344503761097
9,1,1,1,0,0,0,1,0,1,3.871201010907891,3.9512437185814275
10,1,1,0,0,0,0,1,0,1,3.9318256327243257,3.4011973816621555
11,0,1,1,2,0,0,1,1,0,0.6931471805599453,5.017279836814924
12,0,1,0,0,1,0,0,0,1,3.6635616461296463,3.295836866004329
13,1,1,0,0,1,0,0,1,0,3.6375861597263857,5.424950017481403
14,1,1,1,0,1,0,0,1,0,2.9444389791664403,4.51085950651685
15,1,1,0,0,0,0,1,1,0,3.258096538021482,4.356708826689592
16,1,1,2,0,0,0,1,1,0,3.970291913552122,3.9318256327243257
17,1,1,0,1,1,0,0,1,0,3.912023005428146,5.5093883366279774
18,0,1,0,0,0,0,1,0,1,3.8066624897703196,3.258096538021482
19,1,1,0,0,0,0,1,1,0,3.091042453358316,5.017279836814924
20,1,1,1,1,1,0,0,1,0,3.6888794541139363,4.897839799950911
21,1,1,0,1,0,0,1,1,0,3.091042453358316,4.007333185232471
22,0,1,0,0,0,0,1,0,1,4.0943445622221,3.258096538021482
23,0,1,0,0,0,0,1,0,1,3.828641396489095,3.5553480614894135
24,0,1,1,1,1,0,0,0,1,3.8918202981106265,4.700480365792417
25,1,1,3,2,0,0,1,1,0,3.1780538303479458,5.572154032177765
26,0,1,0,0,0,0,1,0,1,3.8066624897703196,3.5553480614894135
27,1,1,0,0,1,0,0,1,0,3.713572066704308,4.897839799950911
28,1,1,0,2,0,0,1,1,0,3.4339872044851463,5.099866427824199
29,0,1,1,0,0,0,1,0,1,3.367295829986474,4.189654742026425
30,1,1,1,0,0,0,1,1,0,3.58351893845611,4.890349128221754
31,1,1,0,0,0,0,1,0,1,3.5553480614894135,3.258096538021482
32,0,1,0,1,0,0,1,0,1,3.6375861597263857,5.030437921392435
33,0,1,0,0,0,0,1,0,1,3.8066624897703196,3.332204510175204
34,1,1,0,1,1,0,0,1,0,2.772588722239781,4.04305126783455
35,1,1,0,0,1,0,0,1,0,3.58351893845611,4.90527477843843
36,1,1,0,0,0,0,1,0,1,3.7376696182833684,3.258096538021482
37,1,1,1,0,1,0,0,1,0,2.8903717578961645,5.424950017481403
38,1,1,1,0,0,0,1,0,1,3.295836866004329,3.970291913552122
39,1,1,1,0,0,0,1,1,0,4.143134726391533,4.343805421853684
40,0,1,0,1,1,0,0,0,1,3.6109179126442243,3.367295829986474
41,1,1,1,0,1,0,0,1,0,3.4339872044851463,4.727387818712341
42,1,1,0,0,1,0,0,0,1,3.6888794541139363,3.4339872044851463
43,1,1,0,0,0,0,1,1,0,3.4965075614664802,4.454347296253507
44,1,1,1,2,0,0,1,1,0,3.58351893845611,4.787491742782046
45,1,1,1,0,0,0,1,1,0,3.9318256327243257,4.343805421853684
46,0,1,0,0,1,0,0,0,1,3.828641396489095,3.6635616461296463
47,1,1,0,0,1,0,0,1,0,4.060443010546419,4.983606621708336
48,1,1,0,0,1,0,0,1,0,3.4657359027997265,4.330733340286331
49,1,1,0,0,1,0,0,1,0,3.784189633918261,3.295836866004329
50,0,1,0,0,0,0,1,0,1,3.6888794541139363,3.912023005428146
51,0,1,0,0,1,0,0,1,0,3.912023005428146,3.332204510175204
52,1,1,0,1,0,0,1,1,0,3.7612001156935624,5.351858133476067
53,0,1,0,0,1,0,0,0,1,4.02535169073515,3.4011973816621555
54,1,1,1,0,0,0,1,1,0,2.833213344056216,4.04305126783455
55,0,1,0,0,0,0,1,0,1,3.367295829986474,3.4011973816621555
56,0,1,0,0,0,0,1,0,1,4.110873864173311,3.4965075614664802
57,1,1,0,0,0,0,1,0,1,3.8066624897703196,3.258096538021482
58,1,1,1,0,0,0,1,0,1,3.6375861597263857,4.499809670330265
59,0,1,1,0,0,0,1,0,1,2.9444389791664403,3.970291913552122
60,1,1,1,0,0,0,1,1,0,3.5553480614894135,4.418840607796598
61,0,1,0,0,0,0,1,0,1,3.9318256327243257,3.4339872044851463
62,1,1,0,0,0,0,1,1,0,3.5553480614894135,4.90527477843843
63,1,1,0,1,0,0,1,1,0,4.060443010546419,5.030437921392435
64,1,1,0,0,0,0,1,1,0,3.367295829986474,5.351858133476067
65,0,1,0,0,0,0,1,0,1,3.6888794541139363,0.0
66,0,1,1,1,0,0,1,0,1,3.9512437185814275,4.3694478524670215
67,1,1,0,0,1,0,0,1,0,3.5553480614894135,6.238324625039508
68,1,1,0,0,0,0,1,1,0,3.4011973816621555,4.454347296253507
69,1,1,0,0,1,0,0,1,0,3.4011973816621555,4.3694478524670215
70,1,1,0,0,1,0,0,0,1,3.5553480614894135,6.238324625039508
71,0,1,0,0,0,0,1,0,1,4.127134385045092,3.258096538021482
72,1,1,1,1,0,0,1,0,1,3.6109179126442243,3.9512437185814275
73,1,1,0,0,0,0,1,0,1,3.912023005428146,3.4011973816621555
74,0,1,2,0,0,1,0,0,1,3.784189633918261,4.499809670330265
75,0,1,1,0,0,0,1,0,1,3.58351893845611,4.356708826689592
76,1,1,2,2,1,0,0,1,0,3.044522437723423,5.568344503761097
77,0,1,1,1,0,0,1,0,1,4.248495242049359,4.2626798770413155
78,1,1,1,0,0,0,1,0,1,3.4339872044851463,4.04305126783455
79,1,1,0,1,0,0,1,1,0,2.70805020110221,5.351858133476067
80,1,1,1,0,1,0,0,1,0,4.0943445622221,4.31748811353631
81,1,1,0,0,1,0,0,1,0,3.1780538303479458,4.23410650459726
82,0,1,0,0,0,0,1,0,1,3.8501476017100584,3.5263605246161616
83,0,1,0,0,0,0,1,0,1,3.713572066704308,3.7376696182833684
84,1,1,1,0,1,0,0,1,0,3.9889840465642745,4.07753744390572
85,1,1,0,0,0,0,1,0,1,3.58351893845611,3.258096538021482
86,1,1,0,0,1,0,0,0,1,3.5553480614894135,3.258096538021482
87,1,1,0,0,0,0,1,0,1,3.8918202981106265,3.258096538021482
88,0,1,1,0,1,0,0,0,1,2.8903717578961645,4.68213122712422
89,1,1,0,0,0,0,1,1,0,3.4011973816621555,4.532599493153256
90,1,1,0,0,0,0,1,1,0,2.772588722239781,4.454347296253507
91,1,1,0,0,0,0,1,1,0,3.6888794541139363,5.030437921392435
92,0,1,1,2,0,0,1,1,0,3.2188758248682006,5.017279836814924
93,1,1,1,0,1,0,0,1,0,3.9889840465642745,4.356708826689592
94,0,1,0,0,1,0,0,0,1,4.2626798770413155,3.8918202981106265
95,0,1,0,0,0,0,1,0,1,4.007333185232471,3.4011973816621555
96,0,1,0,0,1,0,0,0,1,4.060443010546419,3.367295829986474
97,1,1,1,0,0,0,1,1,0,3.5553480614894135,4.499809670330265
98,1,1,0,0,0,0,1,0,1,3.295836866004329,3.4011973816621555
99,1,1,1,0,1,0,0,0,1,3.8918202981106265,4.02535169073515
100,1,1,0,1,1,0,0,1,0,3.784189633918261,4.04305126783455
101,0,1,0,0,0,0,1,0,1,3.6109179126442243,5.3981627015177525
102,1,1,1,0,0,0,1,1,0,3.6635616461296463,4.007333185232471
103,1,1,1,1,1,0,0,1,0,3.6635616461296463,4.700480365792417
104,0,1,0,0,1,0,0,0,1,3.58351893845611,3.6888794541139363
105,1,1,1,1,0,0,1,1,0,3.6635616461296463,4.3694478524670215
106,0,1,0,0,1,0,0,0,1,3.6375861597263857,5.424950017481403
107,1,1,1,0,1,0,0,1,0,3.871201010907891,3.6635616461296463
108,0,1,0,0,0,0,1,0,1,4.127134385045092,3.258096538021482
109,1,1,0,2,0,0,1,1,0,2.8903717578961645,4.3694478524670215
110,1,1,0,2,1,0,0,0,1,2.833213344056216,4.700480365792417
111,1,1,1,1,1,0,0,0,1,4.0943445622221,4.3694478524670215
112,0,1,0,0,0,0,1,0,1,4.1588830833596715,3.258096538021482
113,0,1,1,0,1,0,0,0,1,3.912023005428146,4.663439094112067
114,1,1,0,2,0,0,1,1,0,3.58351893845611,4.2626798770413155
115,1,1,0,2,1,0,0,1,0,3.091042453358316,3.8918202981106265
116,1,1,0,0,1,0,0,1,0,3.4011973816621555,4.663439094112067
117,0,1,0,0,0,0,1,0,1,3.8066624897703196,3.258096538021482
118,1,1,1,0,1,0,0,1,0,3.9512437185814275,4.356708826689592
119,1,1,1,0,1,0,0,0,1,3.2188758248682006,4.51085950651685
120,0,1,0,0,0,0,1,0,1,3.8066624897703196,3.2188758248682006
121,1,1,1,0,0,0,1,0,1,3.7376696182833684,3.9512437185814275
122,0,1,0,0,0,0,1,0,1,3.6888794541139363,3.9512437185814275
123,1,1,1,0,0,1,0,1,0,3.4965075614664802,4.499809670330265
124,0,1,0,2,1,0,0,0,1,4.060443010546419,4.727387818712341
125,1,1,2,0,0,0,1,0,1,3.912023005428146,4.890349128221754
126,0,1,0,0,0,0,1,0,1,3.8501476017100584,3.2188758248682006
127,1,1,1,0,1,0,0,1,0,3.1354942159291497,4.727387818712341
128,1,1,1,0,0,0,1,1,0,3.58351893845611,3.9512437185814275
129,1,1,1,2,0,0,1,0,1,3.58351893845611,4.787491742782046
130,1,1,0,0,1,0,0,0,1,4.02535169073515,3.5553480614894135
131,0,1,1,0,0,0,1,0,1,3.4339872044851463,3.9512437185814275
132,1,1,0,0,1,0,0,1,0,3.7376696182833684,5.424950017481403
133,0,1,0,2,1,0,0,0,1,3.295836866004329,5.351858133476067
134,1,1,1,0,1,0,0,1,0,3.6888794541139363,4.406719247264253
135,1,1,0,1,1,0,0,0,1,3.58351893845611,6.238324625039508
136,0,1,0,0,1,0,0,0,1,3.091042453358316,4.90527477843843
137,1,1,0,0,1,0,0,0,1,3.295836866004329,4.330733340286331
138,1,1,1,0,1,0,0,0,1,3.2188758248682006,4.007333185232471
139,1,1,1,0,0,0,1,1,0,3.5553480614894135,3.9512437185814275
140,1,1,1,0,1,0,0,0,1,3.871201010907891,4.330733340286331
141,1,1,0,0,0,0,1,0,1,3.332204510175204,3.258096538021482
142,0,1,1,0,0,0,1,0,1,3.912023005428146,4.007333185232471
143,1,1,0,0,0,0,1,1,0,3.044522437723423,4.343805421853684
144,1,1,0,0,0,0,1,0,1,4.382026634673881,3.4011973816621555
145,0,1,0,0,0,0,1,0,1,4.02535169073515,3.258096538021482
146,1,1,0,0,1,0,0,0,1,3.4657359027997265,3.4011973816621555
147,0,1,0,0,0,0,1,0,1,3.8501476017100584,3.6375861597263857
148,0,1,0,0,0,0,1,0,1,3.7612001156935624,0.0
149,1,1,0,0,0,0,1,0,1,3.871201010907891,3.258096538021482
150,1,1,1,0,0,0,1,1,0,3.58351893845611,3.9318256327243257
151,0,1,0,0,0,0,1,0,1,4.174387269895637,3.258096538021482
152,1,1,1,0,1,0,0,0,1,3.8918202981106265,4.48863636973214
153,0,1,0,0,1,0,0,0,1,3.4011973816621555,3.295836866004329
154,1,1,0,0,0,0,1,0,1,3.9512437185814275,3.4011973816621555
155,1,1,0,0,0,0,1,0,1,3.5263605246161616,3.258096538021482
156,1,1,0,0,1,0,0,0,1,3.258096538021482,3.4011973816621555
157,1,1,0,0,1,0,0,1,0,3.1780538303479458,4.23410650459726
158,0,1,1,4,0,0,1,0,1,4.1588830833596715,5.572154032177765
159,1,1,1,2,0,0,1,1,0,2.6390573296152584,4.787491742782046
160,0,1,0,0,0,0,1,0,1,4.110873864173311,3.4657359027997265
161,1,1,0,1,0,0,1,1,0,3.367295829986474,4.007333185232471
162,1,1,0,0,0,0,1,0,1,3.58351893845611,3.258096538021482
163,0,1,0,0,0,0,1,0,1,3.6375861597263857,0.0
164,1,1,0,1,1,0,0,0,1,3.1354942159291497,4.143134726391533
165,1,1,0,0,0,0,1,1,0,3.871201010907891,3.2188758248682006
166,1,1,0,2,0,0,1,1,0,2.9444389791664403,3.258096538021482
167,0,1,0,0,1,0,0,0,1,4.2626798770413155,3.5263605246161616
168,0,1,0,0,1,0,0,0,1,3.6635616461296463,3.295836866004329
169,1,1,1,1,0,0,1,1,0,3.8501476017100584,3.9512437185814275
170,1,1,0,0,0,0,0,1,0,4.127134385045092,4.382026634673881
171,0,1,0,0,1,0,0,0,1,3.6888794541139363,3.295836866004329
172,0,1,1,0,0,0,1,0,1,3.828641396489095,4.110873864173311
173,1,1,0,0,0,0,1,1,0,4.060443010546419,3.258096538021482
174,1,1,1,0,1,0,0,1,0,3.6375861597263857,4.983606621708336
175,1,1,3,2,0,0,1,1,0,3.1354942159291497,5.572154032177765
176,0,1,0,1,0,0,1,0,1,3.9889840465642745,4.343805421853684
177,0,1,0,1,1,0,0,0,1,3.1780538303479458,5.5093883366279774
178,1,1,1,1,1,0,0,1,0,3.6635616461296463,4.418840607796598
179,1,1,1,0,0,0,1,1,0,3.4965075614664802,3.970291913552122
180,0,1,0,0,0,0,1,0,1,3.6635616461296463,0.0
181,1,1,1,2,0,0,1,0,1,2.3978952727983707,4.787491742782046
182,0,1,1,0,1,0,0,0,1,3.332204510175204,4.406719247264253
183,0,1,1,0,0,0,1,0,1,3.7376696182833684,3.9512437185814275
184,1,1,1,1,0,0,1,1,0,3.9512437185814275,4.532599493153256
185,0,1,0,0,0,0,1,0,1,3.332204510175204,3.8501476017100584
186,0,1,0,0,1,0,0,0,1,3.1780538303479458,4.3694478524670215
187,1,1,0,0,1,0,0,0,1,3.6888794541139363,3.367295829986474
188,0,1,0,0,0,0,1,0,1,3.4339872044851463,3.912023005428146
189,1,1,0,0,1,0,0,1,0,3.4011973816621555,3.4339872044851463
190,1,1,0,1,1,0,0,1,0,4.02535169073515,4.418840607796598
191,0,1,1,0,0,0,1,0,1,3.6109179126442243,3.970291913552122
192,1,1,1,0,1,0,0,1,0,3.6375861597263857,4.48863636973214
193,1,1,1,0,0,0,1,1,0,3.091042453358316,4.189654742026425
194,0,1,0,0,0,0,1,0,1,3.4965075614664802,1.6094379124341003
195,1,1,0,0,0,0,1,1,0,3.8918202981106265,3.2188758248682006
196,0,1,0,0,0,0,1,0,1,3.7612001156935624,0.0
197,1,1,1,0,1,0,0,1,0,3.6375861597263857,4.2626798770413155
198,1,1,1,0,1,0,0,1,0,3.8918202981106265,4.330733340286331
199,1,1,1,0,0,0,1,1,0,3.5553480614894135,3.970291913552122
200,1,1,0,0,0,0,1,0,1,3.9318256327243257,3.258096538021482
201,0,1,1,0,0,0,1,0,1,3.8066624897703196,4.418840607796598
202,0,1,0,1,1,0,0,0,1,3.9318256327243257,4.110873864173311
203,1,1,0,1,0,0,1,1,0,2.772588722239781,3.6635616461296463
204,1,1,0,0,0,0,1,1,0,2.9444389791664403,3.4011973816621555
205,0,1,0,0,1,0,0,0,1,3.6888794541139363,3.4011973816621555
206,1,1,1,1,0,0,1,1,0,3.8066624897703196,5.099866427824199
207,0,1,3,2,0,0,1,0,1,2.9444389791664403,5.572154032177765
208,0,1,0,0,1,0,0,0,1,3.828641396489095,4.3694478524670215
209,1,1,0,0,0,0,1,0,1,3.828641396489095,3.5553480614894135
210,1,1,0,0,0,0,1,0,1,3.332204510175204,3.5553480614894135
211,0,1,0,1,0,0,1,0,1,3.044522437723423,4.343805421853684
212,0,1,0,1,1,0,0,0,1,4.174387269895637,4.110873864173311
213,0,1,0,0,0,0,1,0,1,3.8501476017100584,3.9512437185814275
214,0,1,0,0,0,0,1,0,1,3.9889840465642745,3.9318256327243257
215,1,1,0,0,0,0,0,1,0,3.6375861597263857,4.382026634673881
216,1,2,0,0,0,0,1,1,0,2.833213344056216,2.302585092994046
217,1,2,0,0,0,0,1,1,0,3.8066624897703196,2.5649493574615367
218,0,2,0,0,0,0,1,1,0,3.6375861597263857,2.5649493574615367
219,1,2,1,0,0,0,1,1,0,3.367295829986474,3.258096538021482
220,0,2,0,0,0,0,1,0,1,3.9512437185814275,2.5649493574615367
221,1,2,1,2,0,0,1,1,0,3.1780538303479458,4.174387269895637
222,0,2,1,0,1,0,0,0,1,3.367295829986474,3.295836866004329
223,1,2,2,1,0,0,1,1,0,1.3862943611198906,3.6635616461296463
224,0,2,1,0,1,0,0,0,1,3.4011973816621555,3.1780538303479458
225,0,2,0,0,0,0,1,0,1,4.189654742026425,2.302585092994046
226,0,2,0,0,0,0,1,0,1,3.2188758248682006,2.5649493574615367
227,1,2,0,0,0,0,1,1,0,3.1780538303479458,2.5649493574615367
228,1,2,0,0,0,1,0,1,0,3.4011973816621555,2.4849066497880004
229,1,2,1,1,0,0,1,1,0,3.091042453358316,3.367295829986474
230,0,2,0,0,0,0,1,0,1,3.6635616461296463,3.258096538021482
231,1,2,0,1,0,0,1,1,0,3.5263605246161616,3.1354942159291497
232,0,2,1,0,0,0,1,0,1,3.5263605246161616,3.258096538021482
233,1,2,0,2,0,0,1,1,0,3.4965075614664802,3.258096538021482
234,1,2,0,0,0,0,1,1,0,3.58351893845611,2.5649493574615367
235,0,2,0,0,0,0,1,0,1,3.9889840465642745,2.6390573296152584
236,1,2,1,1,0,0,1,0,1,0.0,2.8903717578961645
237,1,2,1,2,1,0,0,1,0,3.091042453358316,3.713572066704308
238,1,2,1,0,0,0,1,1,0,3.1780538303479458,3.258096538021482
239,1,2,0,2,1,0,0,0,1,0.0,3.6109179126442243
240,1,2,1,1,0,0,1,0,1,0.6931471805599453,3.258096538021482
241,0,2,1,1,0,0,1,0,1,3.7612001156935624,3.258096538021482
242,0,2,0,0,0,0,1,0,1,3.332204510175204,2.5649493574615367
243,0,2,1,1,0,0,1,1,0,3.258096538021482,3.258096538021482
244,0,2,0,0,0,0,1,0,1,3.58351893845611,2.5649493574615367
245,1,2,0,0,0,0,1,1,0,3.6888794541139363,2.5649493574615367
246,0,2,1,2,1,0,0,0,1,3.2188758248682006,3.713572066704308
247,1,2,1,0,1,0,0,1,0,3.332204510175204,3.1780538303479458
248,0,2,0,0,0,0,1,0,1,3.258096538021482,2.302585092994046
249,0,2,0,0,0,0,1,0,1,3.1354942159291497,2.5649493574615367
250,0,2,0,0,0,0,1,0,1,3.58351893845611,0.0
251,0,2,0,0,0,0,1,0,1,3.58351893845611,0.0
252,0,2,2,0,0,0,1,0,1,3.1780538303479458,4.290459441148391
253,1,2,1,1,0,0,1,1,0,3.5263605246161616,3.4657359027997265
254,1,2,0,2,0,0,1,1,0,2.8903717578961645,2.5649493574615367
255,0,2,0,0,0,0,1,0,1,3.4011973816621555,2.5649493574615367
256,0,2,0,0,0,0,1,0,1,3.871201010907891,2.5649493574615367
257,0,2,1,0,0,0,1,0,1,3.044522437723423,2.3978952727983707
258,1,2,0,1,0,0,1,1,0,2.8903717578961645,3.1354942159291497
259,1,2,1,0,0,0,1,1,0,3.332204510175204,3.258096538021482
260,1,2,1,1,0,0,1,0,1,1.0986122886681098,2.8903717578961645
261,1,2,0,0,0,0,1,1,0,2.9444389791664403,3.258096538021482
262,1,2,1,0,0,0,1,1,0,3.7376696182833684,3.258096538021482
263,0,2,1,0,0,0,1,1,0,3.784189633918261,3.258096538021482
264,1,2,1,2,0,0,1,1,0,1.6094379124341003,3.295836866004329
265,1,2,0,0,0,0,1,1,0,3.332204510175204,2.5649493574615367
266,1,2,2,3,0,0,1,1,0,3.1780538303479458,2.8903717578961645
267,0,2,0,0,0,0,1,0,1,3.4339872044851463,2.302585092994046
268,1,2,1,1,0,0,1,1,0,3.8066624897703196,3.258096538021482
269,1,2,0,0,0,0,1,1,0,3.044522437723423,2.302585092994046
270,1,2,0,0,0,0,1,1,0,3.332204510175204,2.5649493574615367
271,1,2,0,1,0,0,1,1,0,2.5649493574615367,2.9444389791664403
272,0,2,1,1,0,0,1,0,1,3.4339872044851463,3.258096538021482
273,1,2,0,0,0,0,1,1,0,3.912023005428146,2.302585092994046
274,1,2,1,2,1,0,0,1,0,1.0986122886681098,3.713572066704308
275,0,2,1,0,0,0,1,0,1,3.5263605246161616,3.044522437723423
276,1,2,0,0,0,0,1,1,0,3.367295829986474,2.302585092994046
277,0,2,0,0,0,0,1,0,1,2.772588722239781,2.302585092994046
278,1,2,0,2,0,0,1,0,1,0.0,3.367295829986474
279,1,2,1,0,1,0,0,1,0,3.295836866004329,2.5649493574615367
280,0,2,0,0,0,0,1,0,1,3.5263605246161616,0.0
281,1,2,0,0,0,0,1,1,0,3.7376696182833684,2.5649493574615367
282,0,2,0,0,0,0,1,0,1,3.044522437723423,4.290459441148391
283,0,2,0,0,0,0,1,0,1,3.5263605246161616,0.0
284,0,2,1,0,0,0,1,1,0,3.295836866004329,3.044522437723423
285,1,2,0,0,0,0,1,0,1,3.4339872044851463,2.5649493574615367
286,0,2,0,0,0,0,1,0,1,2.8903717578961645,4.290459441148391
287,0,2,0,0,0,0,1,0,1,4.248495242049359,2.302585092994046
288,1,2,0,0,0,0,1,1,0,3.58351893845611,2.5649493574615367
289,0,2,0,0,0,0,1,0,1,3.4657359027997265,2.302585092994046
290,1,2,0,0,1,0,0,1,0,2.833213344056216,2.4849066497880004
291,0,2,0,1,0,0,1,0,1,3.332204510175204,3.4965075614664802
292,1,2,1,1,0,0,1,1,0,3.6888794541139363,3.6635616461296463
293,0,2,0,0,0,1,0,0,1,4.04305126783455,2.4849066497880004
294,1,2,0,0,1,0,0,1,0,3.1354942159291497,2.5649493574615367
295,1,2,1,2,0,0,1,1,0,3.4965075614664802,3.295836866004329
296,0,2,0,0,0,0,1,0,1,3.2188758248682006,2.5649493574615367
297,0,2,0,0,0,0,1,0,1,3.828641396489095,3.258096538021482
298,0,2,0,0,0,0,1,0,1,3.1354942159291497,2.302585092994046
